TAVO abbreviation,language,ISO 639-3,LINGUIST list,Explanation of my proposed code when missing in ISO 639-3 (making sure it's not already used for another language)
sk,Serbo-Croatian,sh,,abolished ISO 639
ass,Assyrian (dialect of Akkadian),asyr,,Language List
ba,Babylonian (dialect of Akkadian),baby,,Language List
al,Old South Arabian,osar,,Language List
ar d,Arabic dialect,arbd,(many),my coinage
ka,Canaanite,cana,cana,my coinage
äth,"Ethiopian (Geez, Amharic)",ethp,amh,my coinage
heb,Biblical Hebrew,hbbb,hbo,my coinage
na,Nabataean,nabt,qhy-nor,my coinage
pam,Pamphylic,pmph,grc-pam,my coinage
ak,Akkadian,akk,,
ar,(Standard Modern) Arabic,arb,,aka Classical Arabic
ara,Aramaic,arc,,
av,Avestan,ae,,
bu,Bulgarian,bg,,
ko,Coptic,cop,,
de,German,de,,
äg,Ancient Egyptian,egy,,
ngr,Modern Greek,el,,
el,Elamite,elx,,
en,English,en,,
pe,Modern Persian,fa,,
fr,French,fr,,
frä,Frankish,frk,,
afr,Old French,fro,,
gr,Ancient Greek,grc,,
he,Ancient Hebrew,hbo,,
nhe,Modern Hebrew,heb,,
hi,Hindi,hi,,
het,Hittite,hit,,
ung,Hungarian,hu,,
arm,Armenian,hy,,
it,Italian,it,,
ge,Georgian,ka,,
ku,Kurdish,ku,,
la,Latin,la,,
os,Ottoman Turkish,ota,,
ape,Old Persian,peo,,
phö,Phoenician,phn,,
pol,Polish,pl,,
po,Portuguese,pt,,
pa,Pashto,ps,,
rum,Romanian,ro,,
rus,Russian,ru,,
sa,Sanskrit,sa,,
si,Sindhi,sd,,
so,Somali,so,,
sp,Spanish,es,,
alb,Albanian,sq,,
su,Sumerian,sux,,
sw,Swahili,sw,,
sy,Syriac,syr,,
tü,Modern Turkish,tr,,
ur,Urdu,ur,,
us,Uzbek,uz,,
hur,Hurrian,xhu,,
ly,Lycian,xlc,,
mpe,Middle Persian,xmn,,
me,Meroitic,xmr,,
aln,Old North Arabian,xna,,
ura,Urartian,xur,,
ch,Chinese,zh,,
