title,key,start,end,area,"alternative terms, notes",to be coded under several time periods
Paleolithic Middle East,paleolithic-middle-east,"-2,600,000","-18,000",ME,,
Stone Age Oman,stone-age-oman,"-125,000","-3,200",Persian Gulf,,
Mesolithic Levant,mesolithic-levant,"-18,000","-9,500",Levant,"Epipaleolithic-Protoneolithic Levant, Kebaran-Natufian",
Mesolithic Middle East,mesolithic-middle-east,"-18,000","-9,000",ME,Epipaleolithic-Protoneolithic ME,
Natufian Levant,natufian-levant,"-12,500","-9,500",Levant,,
Pre-Pottery Neolithic Middle East,pre-pottery-neolithic-middle-east,"-9,000","-6,000",ME,Aceramic Neolithic ME,
Neolithic Middle East,neolithic-middle-east,"-9,000","-4,500",ME,,
Chalcolithic Mesopotamia,chalcolithic-mesopotamia,"-6,200","-3,750",Mesopotamia,"Copper Age Mesopotamia, Halaf-Ubaid-Early Uruk Mesopotamia",
Neolithic Egypt,neolithic-egypt,"-6,000","-4,500",Egypt,,
Pottery Neolithic Middle East,pottery-neolithic-middle-east,"-6,000","-4,500",ME,,
Ubaid-Early Dynastic II Mesopotamia,ubaid-early-dynastic-ii-mesopotamia,"-5,500","-2,600",Mesopotamia,"Late Chalcolithic-ED II Mesopotamia, Ubaid-Uruk-Jemdet Nasr-ED Mesopotamia",
Chalcolithic Iran,chalcolithic-iran,"-5,000","-2,500",Iran,,
Predynastic Egypt,predynastic-egypt,"-4,500","-2,950",Egypt,,
Uruk Mesopotamia,uruk-mesopotamia,"-4,000","-2,950",Mesopotamia,Protoliterate Mesopotamia,
Old Nubian,old-nubian,"-3,800","-2,300",Nubia,A-Group/Old Nubian—Middle Nubian—OK,
Early Bronze Age Southern Levant,early-bronze-age-southern-levant,"-3,300","-2,000",southern Levant,,
Elamite Western Iran,elamite-western-iran,"-3,200",-540,western Iran,Proto—Old—Middle—Neo-Elamite,
Early Dynastic Egypt,early-dynastic-egypt,"-2,950","-2,670",Egypt,,
Early Dynastic Mesopotamia,early-dynastic-mesopotamia,"-2,950","-2,350",Mesopotamia,,
Old Kingdom Egypt,old-kingdom-egypt,"-2,670","-2,168",Egypt,,
Bronze Age Oman,bronze-age-oman,"-2,600","-1,900",Persian Gulf,,
Early Bronze Age Iran,early-bronze-age-iran,"-2,500","-2,000",Iran,Jiroft,
Early-Middle Bronze Age Iran,early-middle-bronze-age-iran,"-2,500","-1,500",Iran,,Early Bronze Age Iran + Middle Bronze Age Iran
Akkadian-Ur III Mesopotamia,akkadian-ur-iii-mesopotamia,"-2,335","-2,000",Mesopotamia,Akkadian—Neo-Sumerian Mesopotamia,
